product_brand,product_description,product_heading,product_id,product_link,product_price
YankeeCandle,"A woody, spicy fragrance that sparkles with a constellation of rose, leather, and driftwood.",A Night Under the Stars,1629379,https://www.yankeecandle.com/product/a-night-under-the-stars/_/R-1629379,$29.50
YankeeCandle,"Buttery rich, vanilla scented, holiday sugar cookies.",Christmas Cookie™,1121431,https://www.yankeecandle.com/product/christmas-cookie/_/R-1121431,$29.50
YankeeCandle,Holiday glow...the spicy warmth of real imported stick cinnamon with a hint of cloves.,Sparkling Cinnamon,1125618,https://www.yankeecandle.com/product/sparkling-cinnamon/_/R-1125618,$26.50
YankeeCandle,Holiday glow…the spicy warmth of real imported stick cinnamon with a hint of cloves.,Sparkling Cinnamon,1125621,https://www.yankeecandle.com/product/sparkling-cinnamon/_/R-1125621,$29.50
YankeeCandle,Holiday glow...the spicy warmth of real imported stick cinnamon with a hint of cloves.,Sparkling Cinnamon,1100952,https://www.yankeecandle.com/product/sparkling-cinnamon/_/R-1100952,$29.50
YankeeCandle,Holiday glow...the spicy warmth of real imported stick cinnamon with a hint of cloves.,Sparkling Cinnamon,1168305,https://www.yankeecandle.com/product/sparkling-cinnamon/_/R-1168305,$17.00
YankeeCandle,"Buttery rich, vanilla scented, holiday sugar cookies.",Christmas Cookie™,1221209,https://www.yankeecandle.com/product/christmas-cookie/_/R-1221209,$21.00
YankeeCandle,Holiday glow...the spicy warmth of real imported stick cinnamon with a hint of cloves.,Sparkling Cinnamon,1100953,https://www.yankeecandle.com/product/sparkling-cinnamon/_/R-1100953,$26.50
YankeeCandle,"Buttery rich, vanilla scented, holiday sugar cookies.",Christmas Cookie™,1168308,https://www.yankeecandle.com/product/christmas-cookie/_/R-1168308,$17.00
YankeeCandle,"Buttery rich, vanilla scented, holiday sugar cookies.",Christmas Cookie™,115504,https://www.yankeecandle.com/product/christmas-cookie/_/R-115504,$29.50
YankeeCandle,"Balsam, aromatic cedar wood and juniper berry blend together in a fresh forest scent.",Balsam & Cedar,1168307,https://www.yankeecandle.com/product/balsam--cedar/_/R-1168307,$17.00
YankeeCandle,"Buttery rich, vanilla scented, holiday sugar cookies.",Christmas Cookie™,114504,https://www.yankeecandle.com/product/christmas-cookie/_/R-114504,$26.50
YankeeCandle,"Buttery rich, vanilla scented, holiday sugar cookies.",Christmas Cookie™,138504,https://www.yankeecandle.com/product/christmas-cookie/_/R-138504,$11.00
YankeeCandle,"Balsam, aromatic cedar wood and juniper berry blend together in a fresh forest scent.",Balsam & Cedar,1062315,https://www.yankeecandle.com/product/balsam--cedar/_/R-1062315,$26.50
